#mu         density         sigma_xx         sigma_xy         alpha_xx         alpha_xy         beta_xx         beta_xy
-4.00000000  0.00000000   1.50236911e-04 -1.28453211e-05   1.96557977e-05 -3.47889319e-06   4.07149652e-04 -3.69789128e-05
-3.96000000  0.00000000   1.84566343e-04 -1.95169827e-05   2.66889636e-05 -5.83195342e-06   5.02897532e-04 -5.71685186e-05
-3.92000000  0.00000000   2.31846623e-04 -3.09549660e-05   3.74405117e-05 -1.03193590e-05   6.36323971e-04 -9.27855722e-05
-3.88000000  0.00000000   2.99314507e-04 -5.17449629e-05   5.46474699e-05 -1.95016010e-05   8.29719897e-04 -1.60021891e-04
-3.84000000  0.00000000   3.99847806e-04 -9.23297663e-05   8.37449775e-05 -3.99591902e-05   1.12403531e-03 -2.98084014e-04
-3.80000000  0.00000000   5.57851459e-04 -1.78818554e-04   1.36288744e-04 -9.04151444e-05   1.59989140e-03 -6.12546556e-04
-3.76000000  0.00000000   8.22979442e-04 -3.83842390e-04   2.38545525e-04 -2.29951749e-04   2.42780083e-03 -1.42024316e-03
-3.72000000  0.00000000   1.30366537e-03 -9.32341188e-04   4.52494109e-04 -6.58101621e-04   3.98665763e-03 -3.73972431e-03
-3.68000000  0.00000022   2.24652225e-03 -2.56583290e-03   9.14434877e-04 -2.00756903e-03   7.08982262e-03 -1.06592931e-02
-3.64000000  0.00001207   4.17599164e-03 -7.52307449e-03   1.82836912e-03 -5.62539451e-03   1.31313597e-02 -2.90200039e-02
-3.60000000  0.00046109   7.89695924e-03 -2.03013145e-02   3.20191468e-03 -1.19843914e-02   2.35051954e-02 -6.61893062e-02
-3.56000000  0.00268144   1.38659957e-02 -4.37521153e-02   4.56019553e-03 -1.81194687e-02   3.86848137e-02 -1.23993662e-01
-3.52000000  0.00536464   2.15817509e-02 -7.43741744e-02   5.43394705e-03 -2.11723469e-02   5.80962920e-02 -1.99222060e-01
-3.48000000  0.00808856   3.02097530e-02 -1.07302180e-01   5.84123085e-03 -2.17934299e-02   8.02665642e-02 -2.83458282e-01
-3.44000000  0.01084269   3.92104727e-02 -1.40149317e-01   5.99345460e-03 -2.14291578e-02   1.03753998e-01 -3.69316205e-01
-3.40000000  0.01362766   4.83301166e-02 -1.72113798e-01   6.03056917e-03 -2.07469788e-02   1.27721220e-01 -4.53477490e-01
-3.36000000  0.01644437   5.74566515e-02 -2.02937277e-01   6.01618803e-03 -1.99566376e-02   1.51777529e-01 -5.34812636e-01
-3.32000000  0.01929381   6.65384419e-02 -2.32521285e-01   5.97733813e-03 -1.91199719e-02   1.75746201e-01 -6.12929691e-01
-3.28000000  0.02217693   7.55498901e-02 -2.60815665e-01   5.92596230e-03 -1.82561566e-02   1.99543037e-01 -6.87657272e-01
-3.24000000  0.02509483   8.44773522e-02 -2.87785800e-01   5.86771633e-03 -1.73714173e-02   2.23124868e-01 -7.58891423e-01
-3.20000000  0.02804865   9.33130854e-02 -3.13402072e-01   5.80547987e-03 -1.64676161e-02   2.46467971e-01 -8.26549381e-01
-3.16000000  0.03103957   1.02052472e-01 -3.37636048e-01   5.74082408e-03 -1.55449564e-02   2.69558554e-01 -8.90554168e-01
-3.12000000  0.03406883   1.10692665e-01 -3.60458915e-01   5.67466546e-03 -1.46029181e-02   2.92388271e-01 -9.50828773e-01
-3.08000000  0.03713779   1.19231887e-01 -3.81840739e-01   5.60757644e-03 -1.36406076e-02   3.14951987e-01 -1.00729359e+00
-3.04000000  0.04024785   1.27669057e-01 -4.01750030e-01   5.53994190e-03 -1.26568945e-02   3.37246602e-01 -1.05986504e+00
-3.00000000  0.04340053   1.36003583e-01 -4.20153442e-01   5.47204286e-03 -1.16504637e-02   3.59270415e-01 -1.10845471e+00
-2.96000000  0.04659754   1.44235244e-01 -4.37015508e-01   5.40410374e-03 -1.06198309e-02   3.81022773e-01 -1.15296858e+00
-2.92000000  0.04984064   1.52364132e-01 -4.52298386e-01   5.33632099e-03 -9.56333892e-03   4.02503890e-01 -1.19330633e+00
-2.88000000  0.05313173   1.60390628e-01 -4.65961590e-01   5.26888174e-03 -8.47914407e-03   4.23714763e-01 -1.22936063e+00
-2.84000000  0.05647274   1.68315392e-01 -4.77961692e-01   5.20197751e-03 -7.36519462e-03   4.44657161e-01 -1.26101632e+00
-2.80000000  0.05986577   1.76139386e-01 -4.88251986e-01   5.13581558e-03 -6.21920238e-03   4.65333661e-01 -1.28814955e+00
-2.76000000  0.06331319   1.83863902e-01 -4.96782111e-01   5.07063002e-03 -5.03860714e-03   4.85747734e-01 -1.31062670e+00
-2.72000000  0.06681771   1.91490613e-01 -5.03497599e-01   5.00669390e-03 -3.82053291e-03   5.05903882e-01 -1.32830326e+00
-2.68000000  0.07038217   1.99021641e-01 -5.08339370e-01   4.94433420e-03 -2.56173416e-03   5.25807824e-01 -1.34102237e+00
